Name,URL,Age in 2020,Gender,Role,From,Until
"Austin, Gregory Charles ",sfclicrec.asp?p=107039,,M,Rep,2014-06-03,2015-08-06
"Blight, Warren Nicholas ",sfclicrec.asp?p=102942,,M,Rep,2014-02-07,2014-03-28
"Cai, Qian 蔡茜",sfclicrec.asp?p=22543753,,,Rep,2018-12-14,
"Choi, Ying Hang 蔡應鏗",sfclicrec.asp?p=2463090,,,Rep,2015-08-17,
"Gokhale, Prashant Achyut ",sfclicrec.asp?p=77298,,M,RO,2018-09-10,
"Guha Roy, Tathagata ",sfclicrec.asp?p=49569,,M,Rep,2014-04-30,2014-08-22
"Guha Roy, Tathagata ",sfclicrec.asp?p=49569,,M,RO,2014-08-22,2014-10-15
"Guha Roy, Tathagata ",sfclicrec.asp?p=49569,,M,Rep,2014-10-15,2014-10-16
"Harjani, Vijay Kumar Dayal ",sfclicrec.asp?p=77312,,M,Rep,2018-08-21,
"Haskins, Andrew Robin Alexander (SFC:ALY617) ",sfclicrec.asp?p=88466,,M,Rep,2013-02-06,2014-01-06
"Haskins, Andrew Robin Alexander (SFC:ALY617) ",sfclicrec.asp?p=88466,,M,RO,2014-01-06,2014-10-07
"Hunsaker, Brian Worthen ",sfclicrec.asp?p=105536,,M,Rep,2013-02-25,2013-09-13
"Jain, Sanjay (SFC:AUW893) ",sfclicrec.asp?p=77349,,M,Rep,2018-12-14,2019-05-10
"Lobello, Christopher Michael ",sfclicrec.asp?p=77808,,M,RO,2014-04-09,2015-02-11
"Lynch, Michael Joseph (SFC:AYW249) ",sfclicrec.asp?p=1434104,,M,Rep,2014-02-17,2014-06-27
"Mak, Yee Mui 麥綺梅",sfclicrec.asp?p=103733,,,Rep,2014-08-15,2018-01-26
"Mangkornkarn, Tanita ",sfclicrec.asp?p=129716,,F,RO,2010-07-30,2014-01-07
"Monaco, Thomas John ",sfclicrec.asp?p=67653,,M,Rep,2013-02-08,2013-08-26
"Naqvi, Syed Ali Raza (SFC:AIZ646) ",sfclicrec.asp?p=77160,,M,Rep,2018-07-25,2019-01-04
"Naqvi, Syed Ali Raza (SFC:AIZ646) ",sfclicrec.asp?p=77160,,M,RO,2019-01-04,
"Neruda, Keith Francis ",sfclicrec.asp?p=118310,,M,Rep,2011-10-17,2011-11-17
"Neruda, Keith Francis ",sfclicrec.asp?p=118310,,M,RO,2011-11-17,2012-12-31
"Qian, Lu (SFC:BDO386) 錢鷺",sfclicrec.asp?p=2296778,,,Rep,2014-07-21,2015-02-28
"Rawle, Peter Richard ",sfclicrec.asp?p=2235556,,M,Rep,2014-03-25,2015-03-09
"Roberts, Christopher Fenton 羅弼時",sfclicrec.asp?p=88526,,M,Rep,2012-06-25,2012-07-18
"Roberts, Christopher Fenton 羅弼時",sfclicrec.asp?p=88526,,M,RO,2012-07-18,2018-01-26
"Summers, Timothy (SFC:AUG878) ",sfclicrec.asp?p=129014,,M,Rep,2011-04-28,2013-01-23
"Summers, Timothy (SFC:AUG878) ",sfclicrec.asp?p=129014,,M,RO,2013-01-23,2014-05-30
"Sze, Winnie Wei Ling 施惠玲",sfclicrec.asp?p=70289,,F,Rep,2014-04-25,2015-10-30
"Tabbush, Daniel Lawrence ",sfclicrec.asp?p=75631,,M,Rep,2013-01-11,2014-06-16
"Tsoi, Ting Sze 蔡婷思",sfclicrec.asp?p=88610,,,Rep,2012-06-25,2015-02-09
"Tsoi, Ting Sze 蔡婷思",sfclicrec.asp?p=88610,,,RO,2015-02-09,
"Tulk, Philip W ",sfclicrec.asp?p=93357,,M,Rep,2012-09-06,2013-04-11
"Tulloch, Gillem Michael ",sfclicrec.asp?p=121426,,M,RO,2010-07-30,2013-12-31
"Wong, Cheuk Yiu (SFC:BGI414) 王燉堯",sfclicrec.asp?p=2506833,,,Rep,2015-11-30,2016-09-23
"Xue, Ya 薛婭",sfclicrec.asp?p=22442609,,,Rep,2018-11-16,
"Yetman, Mark Stephen ",sfclicrec.asp?p=71948,,M,Rep,2014-03-21,2015-04-13
"Yeung, Keith Kwok Ki 楊國基",sfclicrec.asp?p=88438,,M,RO,2018-03-15,2019-01-11
"Yeung, Keith Kwok Ki 楊國基",sfclicrec.asp?p=88438,,M,Rep,2019-01-11,2019-02-04
