Name,DiscAct,URL,SFC ID,SFC Link,Age in 2020,Gender,Role,From,Until
"Choi Chan, Yi Ting 蔡陳依廷",None,sfclicrec.asp?p=69946,AVJ017,http://www.sfc.hk/publicregWeb/indi/AVJ017/licenceRecord,,,Rep,2016-03-21,2016-05-19
"Choi Chan, Yi Ting 蔡陳依廷",None,sfclicrec.asp?p=69946,AVJ017,http://www.sfc.hk/publicregWeb/indi/AVJ017/licenceRecord,,,RO,2016-05-19,2018-12-12
"Ji, Bo 季波",None,sfclicrec.asp?p=12819031,BLT493,http://www.sfc.hk/publicregWeb/indi/BLT493/licenceRecord,,,Rep,2018-03-02,
"Li, Xinsong 李新松",None,sfclicrec.asp?p=73309,ANX441,http://www.sfc.hk/publicregWeb/indi/ANX441/licenceRecord,,,RO,2016-01-27,
"Shia, Charles 夏謙",None,sfclicrec.asp?p=2110609,BBR203,http://www.sfc.hk/publicregWeb/indi/BBR203/licenceRecord,,M,RO,2016-01-27,
"Wang, Erchun 王尔淳",None,sfclicrec.asp?p=1960645,BAE018,http://www.sfc.hk/publicregWeb/indi/BAE018/licenceRecord,,,Rep,2016-05-26,2018-12-10
"Wang, Erchun 王尔淳",None,sfclicrec.asp?p=1960645,BAE018,http://www.sfc.hk/publicregWeb/indi/BAE018/licenceRecord,,,RO,2018-12-10,2019-07-15
"Wang, Erchun 王尔淳",None,sfclicrec.asp?p=1960645,BAE018,http://www.sfc.hk/publicregWeb/indi/BAE018/licenceRecord,,,Rep,2019-07-15,
"Zhang, Bo (SFC:BHK421) 張博",None,sfclicrec.asp?p=2585430,BHK421,http://www.sfc.hk/publicregWeb/indi/BHK421/licenceRecord,,,Rep,2016-05-31,2018-12-10
"Zhang, Bo (SFC:BHK421) 張博",None,sfclicrec.asp?p=2585430,BHK421,http://www.sfc.hk/publicregWeb/indi/BHK421/licenceRecord,,,RO,2018-12-10,2019-08-31
