Name,URL,Age in 2020,Gender,Role,From,Until
"But, Chi Kwan 畢志坤",sfclicrec.asp?p=2448073,,,Rep,2019-06-21,2019-08-22
"Cai, Jiazhu 蔡佳竹",sfclicrec.asp?p=2199494,,,Rep,2014-11-25,2018-04-06
"Chan, Cheuk Fung (SFC:AQA569) 陳卓鋒",sfclicrec.asp?p=82893,,,Rep,2014-01-20,
"Chan, Cheung Wo 陳祥和",sfclicrec.asp?p=104375,,,Rep,2012-06-21,2012-12-13
"Chan, Chung Leung (SFC:AEF867) 陳仲良",sfclicrec.asp?p=94304,,,Rep,2018-12-05,
"Chan, Ho Kin (SFC:ANT708) 陳豪健",sfclicrec.asp?p=88229,,,Rep,2012-02-06,2012-03-25
"Chan, Ho Ting (SFC:AWY231) 陳浩庭",sfclicrec.asp?p=92395,,,Rep,2014-05-09,2018-01-19
"Chan, Hoi Na 陳凱娜",sfclicrec.asp?p=12085900,,,Rep,2017-09-29,
"Chan, Hung Kee 陳鴻基",sfclicrec.asp?p=92288,,,Rep,2012-09-17,2012-10-09
"Chan, Hung Kee 陳鴻基",sfclicrec.asp?p=92288,,,RO,2012-10-09,
"Chan, Mui Yuk 陳梅玉",sfclicrec.asp?p=83694,,,Rep,2014-07-10,2017-09-21
"Chan, Po Kei (SFC:ADW721) 陳寶基",sfclicrec.asp?p=92951,,,Rep,2015-01-14,2017-01-01
"Chan, Raymend Wai Man 陳偉民",sfclicrec.asp?p=72464,,M,Rep,2016-07-29,
"Chan, Ryan Yin Chun 陳賢進",sfclicrec.asp?p=22979965,,M,Rep,2019-04-01,
"Chan, Simon Cherk Him 陳卓謙",sfclicrec.asp?p=92391,,M,Rep,2012-08-02,
"Chan, Siu Chun (SFC:ACO737) 陳少春",sfclicrec.asp?p=92405,,,Rep,2019-07-08,
"Chan, Siu Ling 陳小鈴",sfclicrec.asp?p=2269660,,,Rep,2018-08-08,
"Chan, Siu Lung (SFC:AGK556) 陳兆龍",sfclicrec.asp?p=72461,,,Rep,2018-10-10,2020-01-03
"Chan, Tor 陳舵",sfclicrec.asp?p=76852,,,Rep,2013-11-14,2014-11-01
"Chan, Tsz Chun (SFC:BAP966) 陳子俊",sfclicrec.asp?p=1998237,,,Rep,2013-07-23,
"Chan, Wai Man (SFC:ACL111) 陳偉文",sfclicrec.asp?p=92410,,,Rep,2011-12-23,2013-03-08
"Chau, Chun Wai (SFC:BMS481) 鄒俊偉",sfclicrec.asp?p=15394395,,,Rep,2018-05-23,2018-09-19
"Chau, Ho Hei 巢皓熙",sfclicrec.asp?p=92415,,,Rep,2015-11-16,
"Chau, Man Ting (SFC:AAD481) 周文定",sfclicrec.asp?p=91036,,,Rep,2012-08-27,
"Chen, Weijie (SFC:BBQ154) 陳煒杰",sfclicrec.asp?p=2158792,,,Rep,2013-11-06,2015-01-02
"Chen, Xiaoyun (SFC:BEE447) 陳曉云",sfclicrec.asp?p=2319476,,,Rep,2015-11-18,
"Cheng, Angel On Ki 鄭安琪",sfclicrec.asp?p=95419,,F,Rep,2012-08-01,2017-06-10
"Cheng, Hiu Lam 鄭驍琳",sfclicrec.asp?p=1905290,,,Rep,2019-08-29,
"Cheng, Joseph Kar Min 鄭家敏",sfclicrec.asp?p=92421,,M,Rep,2015-12-09,
"Cheng, Mego Mei Yee 陳美怡",sfclicrec.asp?p=91209,,,Rep,2012-02-06,
"Cheng, Wai Fong 鄭慧芳",sfclicrec.asp?p=2221271,,,Rep,2014-03-11,
"Cheung, Chui Chui 張翠翠",sfclicrec.asp?p=2629300,,,Rep,2019-12-30,
"Cheung, Chun Ho (SFC:ARF588) 張振豪",sfclicrec.asp?p=79865,,,Rep,2012-09-21,2013-08-16
"Cheung, Johnson Fusheng 張富紳",sfclicrec.asp?p=80154,55,M,Rep,2018-06-05,
"Cheung, Joseph Cho Shing 張祖成",sfclicrec.asp?p=103186,,M,RO,2011-12-14,
"Cheung, Ka Ho (SFC:AYH663) 張家豪",sfclicrec.asp?p=136213,,,Rep,2014-01-14,2016-05-13
"Cheung, Kim Ho 張劍豪",sfclicrec.asp?p=95428,,,Rep,2012-08-01,
"Cheung, Man Keung 張文強",sfclicrec.asp?p=81672,,,Rep,2019-03-07,
"Chiu, Dominic Bong Chi 趙邦智",sfclicrec.asp?p=92424,,M,Rep,2014-01-14,
"Chiu, Ka Chun (SFC:APQ568) 趙嘉俊",sfclicrec.asp?p=95763,,,Rep,2016-03-07,
"Chiu, Siu Ngan 趙少雁",sfclicrec.asp?p=83644,,,Rep,2012-05-02,2012-06-22
"Choi, Chun Ning 蔡鎮寧",sfclicrec.asp?p=94341,,,Rep,2017-10-30,2018-06-28
"Choi, Ka Fai 蔡家輝",sfclicrec.asp?p=92428,,,Rep,2012-03-13,2019-02-14
"Choi, Ping Kwan 蔡炳坤",sfclicrec.asp?p=2021985,,,Rep,2017-03-23,
"Chong, Siu Suet 莊小雪",sfclicrec.asp?p=91588,,,Rep,2013-11-08,2018-06-27
"Chong, Siu Suet 莊小雪",sfclicrec.asp?p=91588,,,RO,2018-06-27,
"Chong, Wai Hung 莊偉雄",sfclicrec.asp?p=92430,,,Rep,2019-08-07,
"Chow, Chun On 周鎮安",sfclicrec.asp?p=23596905,,,Rep,2019-10-21,
"Chow, Kim Wing 周劍榮",sfclicrec.asp?p=93909,,,Rep,2012-11-02,
"Chow, Simon Chi Wing 鄒至榮",sfclicrec.asp?p=85461,,M,Rep,2016-11-18,2016-11-22
"Chow, Wing Keung 周永強",sfclicrec.asp?p=90931,,,Rep,2018-12-05,2019-08-05
"Chow, Wing Si 周詠詩",sfclicrec.asp?p=97410,,,Rep,2012-11-15,2017-12-31
"Chow, Yin Fong 周燕芳",sfclicrec.asp?p=71485,,,Rep,2012-01-30,2016-11-16
"Chow, Yung 周容",sfclicrec.asp?p=2281845,,,Rep,2019-10-15,
"Choy, Calvin Chi Hai 蔡子熙",sfclicrec.asp?p=98863,,M,Rep,2014-01-24,2016-07-25
"Choy, Ho Yin 蔡浩然",sfclicrec.asp?p=91211,,,Rep,2012-01-03,
"Choy, Tak Yin 蔡德賢",sfclicrec.asp?p=2316498,,,Rep,2014-09-05,
"Chu, Siu Fan 朱小芬",sfclicrec.asp?p=76131,,,Rep,2016-06-15,2017-07-07
"Chu, Siu Ling 朱小玲",sfclicrec.asp?p=93910,,,Rep,2013-03-05,2013-07-15
"Chu, Wai Leung (SFC:ABQ114) 朱偉良",sfclicrec.asp?p=92434,,,Rep,2019-07-15,
"Chua, Tsz Lan 蔡紫蘭",sfclicrec.asp?p=74018,,,Rep,2012-08-01,2014-08-07
"Dong, Lok 黨爍",sfclicrec.asp?p=153617,,,Rep,2012-02-23,2018-12-31
"Dou, Kar Ming Kelvin 屠嘉銘",sfclicrec.asp?p=19990874,,,Rep,2018-10-16,
"Fang, Yalan 方雅蘭",sfclicrec.asp?p=2588262,,,Rep,2016-06-06,2019-10-15
"Fung, Kit Sing 馮傑聲",sfclicrec.asp?p=92444,,,Rep,2012-08-21,2015-05-28
"Gao, Fei (SFC:BHU674) 高菲",sfclicrec.asp?p=2605991,,,Rep,2016-12-28,2019-08-18
"Guo, Xiaowen 過曉雯",sfclicrec.asp?p=10001153,,,Rep,2017-05-10,
"Ho, Chun Man (SFC:ARJ714) 何振文",sfclicrec.asp?p=72943,,,Rep,2016-08-15,2017-01-23
