Name,DiscAct,URL,SFC ID,SFC Link,Age in 2020,Gender,Role,From,Until
"Chan, Anson 陳燿璋",None,sfclicrec.asp?p=80204,AEZ003,http://www.sfc.hk/publicregWeb/indi/AEZ003/licenceRecord,,F,RO,2011-11-29,
"Chen, Alan Leh Chiarng 陳樂強",None,sfclicrec.asp?p=80209,AGH159,http://www.sfc.hk/publicregWeb/indi/AGH159/licenceRecord,,M,Rep,2008-03-03,2012-01-13
"Chen, Alan Leh Chiarng 陳樂強",None,sfclicrec.asp?p=80209,AGH159,http://www.sfc.hk/publicregWeb/indi/AGH159/licenceRecord,,M,RO,2012-01-13,2018-07-11
"Cheng, Wai Yan 鄭偉然",None,sfclicrec.asp?p=99000,ALL092,http://www.sfc.hk/publicregWeb/indi/ALL092/licenceRecord,,,RO,2007-04-19,2011-11-04
"Cheung, Chun Ting (SFC:BFZ227) 張駿莛",None,sfclicrec.asp?p=2459540,BFZ227,http://www.sfc.hk/publicregWeb/indi/BFZ227/licenceRecord,,,Rep,2018-05-09,
"Chow, Horace Ho Yin 周浩賢",None,sfclicrec.asp?p=99001,ARX024,http://www.sfc.hk/publicregWeb/indi/ARX024/licenceRecord,,M,Rep,2009-01-14,
"Lam, Christine Yee Kwan 林綺君",None,sfclicrec.asp?p=80210,AFK384,http://www.sfc.hk/publicregWeb/indi/AFK384/licenceRecord,,F,Rep,2012-02-21,2016-10-14
"Lam, Christine Yee Kwan 林綺君",None,sfclicrec.asp?p=80210,AFK384,http://www.sfc.hk/publicregWeb/indi/AFK384/licenceRecord,,F,RO,2016-10-14,
"Leung, Kenneth Kwun Chung 梁貫聰",None,sfclicrec.asp?p=69681,ARN820,http://www.sfc.hk/publicregWeb/indi/ARN820/licenceRecord,,M,Rep,2016-03-16,2018-03-27
"Leung, Kenneth Kwun Chung 梁貫聰",None,sfclicrec.asp?p=69681,ARN820,http://www.sfc.hk/publicregWeb/indi/ARN820/licenceRecord,,M,RO,2018-03-27,
"Lin, I-Chi 林逸奇",None,sfclicrec.asp?p=2008168,BAT265,http://www.sfc.hk/publicregWeb/indi/BAT265/licenceRecord,,,Rep,2013-01-14,
"Min, Robert Bock-Gi ",None,sfclicrec.asp?p=1854938,AYY389,http://www.sfc.hk/publicregWeb/indi/AYY389/licenceRecord,,M,Rep,2012-02-20,2015-07-21
"Teo, Kea Shiang 張家祥",None,sfclicrec.asp?p=80211,AOV624,http://www.sfc.hk/publicregWeb/indi/AOV624/licenceRecord,,,Rep,2011-12-28,2016-10-14
"Teo, Kea Shiang 張家祥",None,sfclicrec.asp?p=80211,AOV624,http://www.sfc.hk/publicregWeb/indi/AOV624/licenceRecord,,,RO,2016-10-14,
"Wong, Karvan Kai Bong 黃啟邦",None,sfclicrec.asp?p=119380,ANU552,http://www.sfc.hk/publicregWeb/indi/ANU552/licenceRecord,,,Rep,2007-04-20,2011-01-11
"Wong, Lok Yee Ronnie 黃樂儀",None,sfclicrec.asp?p=22857608,BOE240,http://www.sfc.hk/publicregWeb/indi/BOE240/licenceRecord,,M,Rep,2019-03-05,
"Wong, Po Yee (SFC:AOC980) 黃寶兒",None,sfclicrec.asp?p=80220,AOC980,http://www.sfc.hk/publicregWeb/indi/AOC980/licenceRecord,,,Rep,2016-02-15,2019-01-11
"Yang, James Ting Yeh 楊定曄",None,sfclicrec.asp?p=80206,AEX752,http://www.sfc.hk/publicregWeb/indi/AEX752/licenceRecord,,M,RO,2007-04-19,
"Yu Bai, Daniel ",None,sfclicrec.asp?p=2654205,BIK230,http://www.sfc.hk/publicregWeb/indi/BIK230/licenceRecord,,M,Rep,2018-09-20,
