Name,URL,Age in 2020,Gender,Role,From,Until
"Baldwin, Christopher Stephen ",sfclicrec.asp?p=55509,,M,Rep,2009-02-04,2010-04-30
"Catenacci, Lucas Martin ",sfclicrec.asp?p=153621,,M,Rep,2012-01-20,2014-11-17
"Clayton, Christopher Winslow ",sfclicrec.asp?p=55510,,M,Rep,2008-12-05,2010-02-04
"Clayton, Christopher Winslow ",sfclicrec.asp?p=55510,,M,RO,2010-02-04,2013-11-19
"Devesa, Philippe Rodolphe Xavier ",sfclicrec.asp?p=2126580,,M,Rep,2013-09-03,2013-11-18
"Devesa, Philippe Rodolphe Xavier ",sfclicrec.asp?p=2126580,,M,RO,2013-11-18,2014-12-23
"Devesa, Philippe Rodolphe Xavier ",sfclicrec.asp?p=2126580,,M,RO,2019-12-10,
"Dominick, Frank ",sfclicrec.asp?p=55506,,M,RO,2007-08-22,2010-03-15
"Edwards, Samuel Christopher Vincent ",sfclicrec.asp?p=55511,,M,Rep,2008-05-08,2011-12-18
"Frasier, Hamilton Reid ",sfclicrec.asp?p=124258,,,Rep,2008-03-10,2009-06-17
"Fried, Andrew Michael ",sfclicrec.asp?p=55507,,M,Rep,2007-10-18,2009-10-05
"Fried, Andrew Michael ",sfclicrec.asp?p=55507,,M,RO,2009-10-05,2015-01-31
"Fukunaga, Peter Hideichi ",sfclicrec.asp?p=63127,,M,Rep,2010-07-06,2012-02-21
"Gourmelen, Arnaud ",sfclicrec.asp?p=114126,,M,Rep,2013-01-04,2017-06-21
"Gourmelen, Arnaud ",sfclicrec.asp?p=114126,,M,RO,2017-06-21,2019-07-01
"Green, Michael Bernard ",sfclicrec.asp?p=1954820,,M,Rep,2015-07-06,2015-08-19
"Green, Michael Bernard ",sfclicrec.asp?p=1954820,,M,RO,2015-08-19,2019-08-01
"Jackson, Madeleine Eyre ",sfclicrec.asp?p=124031,,,Rep,2008-01-03,2009-06-17
"Langford, John Thomas ",sfclicrec.asp?p=55512,,M,Rep,2008-01-30,2014-05-13
"Langford, John Thomas ",sfclicrec.asp?p=55512,,M,RO,2014-05-13,
"Lee, Jonghwan ",sfclicrec.asp?p=135603,,,Rep,2011-12-30,2012-10-18
"Li, Bei (SFC:AUX239) 李北",sfclicrec.asp?p=63126,,,Rep,2010-04-07,2016-11-30
"Noone, Kevin Mccue ",sfclicrec.asp?p=135742,,M,Rep,2012-01-04,2014-12-29
"Noone, Kevin Mccue ",sfclicrec.asp?p=135742,,M,RO,2014-12-29,2016-11-30
"O'Neill, Jason Christopher ",sfclicrec.asp?p=153437,,M,Rep,2012-01-16,2017-01-14
"Patrick, Matthew ",sfclicrec.asp?p=2608045,,M,Rep,2016-07-20,2018-12-17
"Scott, David Bruce ",sfclicrec.asp?p=113062,,M,RO,2008-01-31,2008-05-14
"Scott, David Bruce ",sfclicrec.asp?p=113062,,M,Rep,2008-05-14,2009-06-30
"Sun, Lucy Shin Su 孫心樹",sfclicrec.asp?p=105949,,F,Rep,2008-02-26,2008-10-31
"Sun, Yi (SFC:APZ227) 孫毅",sfclicrec.asp?p=55508,,,RO,2008-01-07,2009-12-31
"Toresco, Robert Dominic ",sfclicrec.asp?p=55513,,M,Rep,2008-07-07,2012-02-29
"Uratani, Satoru ",sfclicrec.asp?p=135743,,,Rep,2012-01-04,2013-08-16
"Van der Ven, Jeroen Willibrord Erlend ",sfclicrec.asp?p=63125,,M,Rep,2010-10-13,2011-04-29
"Van der Ven, Jeroen Willibrord Erlend ",sfclicrec.asp?p=63125,,M,Rep,2013-10-16,2016-07-21
"Votta, John Patrick ",sfclicrec.asp?p=2093063,,M,Rep,2013-07-02,2016-12-13
"Wedum, Scott Donald ",sfclicrec.asp?p=135744,,M,Rep,2012-01-04,2013-09-30
"Wong, Matthew Wai Yuen 王威遠",sfclicrec.asp?p=55514,,M,Rep,2008-01-04,2019-10-08
"Woo, Charles Kun ",sfclicrec.asp?p=63132,,M,RO,2007-08-22,2009-10-31
"Yap, Brendan Wei Chung ",sfclicrec.asp?p=127998,,M,Rep,2009-06-15,2009-06-17
"Zhang, Zhonglin Johnny ",sfclicrec.asp?p=2495154,,M,Rep,2015-11-04,2017-05-08
