Name,URL,Age in 2020,Gender,Role,From,Until
"Chan, Pat Wing 陳弼榮",sfclicrec.asp?p=91032,,,RO,2019-10-21,
"Cheung, Wing Keung (SFC:AXC714) 張永強",sfclicrec.asp?p=73161,,,Rep,2019-12-27,
"Im, Stephen Kai Chuen 嚴啟銓",sfclicrec.asp?p=46940,48,M,Rep,2019-07-05,
"Keung, Kam Chuen 姜錦全",sfclicrec.asp?p=100306,,,RO,2018-07-20,
"Lee, Ka Him 李家謙",sfclicrec.asp?p=73253,,,RO,2019-12-24,
"Orr, Joseph Wai Shing 柯偉聲",sfclicrec.asp?p=22923,60,M,RO,2016-08-18,2017-08-18
"Tam, Arthur Kin Man 譚建文",sfclicrec.asp?p=85937,,M,RO,2017-11-07,
"Tang, Andrew Ping Sum 鄧炳森",sfclicrec.asp?p=11917,63,M,RO,2016-08-18,2017-11-26
"Ton, Suzanne To Quan 孫素君",sfclicrec.asp?p=101796,,F,Rep,2016-11-03,2018-01-02
"Wong, Wai Sze (SFC:BAA860) 黃慧思",sfclicrec.asp?p=1964506,,,Rep,2016-10-04,2018-01-04
"Xie, Weiquan 謝偉全",sfclicrec.asp?p=2203547,39,M,Rep,2016-10-14,
