Name,URL,Age in 2020,Gender,Role,From,Until
"Chan, Shue Keung 陳樹強",sfclicrec.asp?p=84521,,,Rep,2017-06-30,2017-08-31
"Cheung, Katherine Ka Yee 張嘉儀",sfclicrec.asp?p=90219,,F,Rep,2016-06-30,2018-04-06
"Cheung, Katherine Ka Yee 張嘉儀",sfclicrec.asp?p=90219,,F,RO,2018-04-06,
"Kam, Boris Kwun Kwan 金冠群",sfclicrec.asp?p=99686,,M,RO,2018-09-27,2019-06-30
"Kwan, Ut Hoi 關越海",sfclicrec.asp?p=93501,,,Rep,2019-09-04,2019-09-24
"Kwan, Ut Hoi 關越海",sfclicrec.asp?p=93501,,,RO,2019-09-24,
"Lam, Victor Wing Chak 林永澤",sfclicrec.asp?p=92672,,M,RO,2012-08-06,2017-10-31
"Li, Paul Pou Hing 李普慶",sfclicrec.asp?p=92673,,M,RO,2012-08-06,2018-08-31
"Or, Siu Kam 柯小琴",sfclicrec.asp?p=112996,,,RO,2013-07-16,2015-05-11
"Or, Siu Kam 柯小琴",sfclicrec.asp?p=112996,,,Rep,2016-02-22,2016-03-16
"Wang, Ke (SFC:BAF971) 王軻",sfclicrec.asp?p=1970195,,,Rep,2017-02-07,
