Name,DiscAct,URL,SFC ID,SFC Link,Age in 2020,Gender,Role,From,Until
"An, Liyan (SFC:AHS161) 安麗艷",None,sfclicrec.asp?p=12798589,AHS161,http://www.sfc.hk/publicregWeb/indi/AHS161/licenceRecord,,,RO,2018-02-20,
"Cao, Jingmu 曹靖牧",None,sfclicrec.asp?p=1848554,AYW195,http://www.sfc.hk/publicregWeb/indi/AYW195/licenceRecord,,,Rep,2018-11-15,2019-02-22
"Chan, Cheuk Yin (SFC:AXG304) 陳卓然",None,sfclicrec.asp?p=131121,AXG304,http://www.sfc.hk/publicregWeb/indi/AXG304/licenceRecord,,,Rep,2017-03-23,2019-12-13
"Chan, Kai Cheung (SFC:APO196) 陳啟祥",None,sfclicrec.asp?p=70598,APO196,http://www.sfc.hk/publicregWeb/indi/APO196/licenceRecord,,,Rep,2017-10-26,2018-05-03
"Chan, Tim Yu 陳添裕",None,sfclicrec.asp?p=16570091,BNA686,http://www.sfc.hk/publicregWeb/indi/BNA686/licenceRecord,,,Rep,2018-06-04,
"Chan, Yi (SFC:APG474) 朱繹",None,sfclicrec.asp?p=79509,APG474,http://www.sfc.hk/publicregWeb/indi/APG474/licenceRecord,,,Rep,2018-09-18,
"Chen, Che 陳彻",None,sfclicrec.asp?p=2145728,BCB567,http://www.sfc.hk/publicregWeb/indi/BCB567/licenceRecord,,,RO,2014-07-02,2015-09-01
"Chen, Guowen 陳國文",None,sfclicrec.asp?p=1855957,AZA682,http://www.sfc.hk/publicregWeb/indi/AZA682/licenceRecord,,,Rep,2016-02-03,2017-03-31
"Chen, Lufeier 陳露菲兒",None,sfclicrec.asp?p=12595474,BLM083,http://www.sfc.hk/publicregWeb/indi/BLM083/licenceRecord,,,Rep,2017-11-23,
"Chen, Xiao (SFC:BFC998) 陳曉",None,sfclicrec.asp?p=2395472,BFC998,http://www.sfc.hk/publicregWeb/indi/BFC998/licenceRecord,,,Rep,2015-03-20,2016-03-31
"Chen, Yi Ting 陳意婷",None,sfclicrec.asp?p=2617030,BHY555,http://www.sfc.hk/publicregWeb/indi/BHY555/licenceRecord,,,Rep,2016-08-09,2018-01-30
"Cheng, Yuen Yu 莊宛儒",None,sfclicrec.asp?p=11668835,ADT433,http://www.sfc.hk/publicregWeb/indi/ADT433/licenceRecord,,,Rep,2017-06-26,2017-12-18
"Cheng, Yujia 成雨佳",None,sfclicrec.asp?p=2665049,BIQ365,http://www.sfc.hk/publicregWeb/indi/BIQ365/licenceRecord,,,Rep,2016-11-28,2019-04-12
"Chiu, Shirley Lai Ling 趙麉玲",None,sfclicrec.asp?p=50372,ABV702,http://www.sfc.hk/publicregWeb/indi/ABV702/licenceRecord,58.0,F,RO,2014-12-03,2015-11-06
"Choi, Ka Wai (SFC:ALA617) 蔡嘉偉",None,sfclicrec.asp?p=83588,ALA617,http://www.sfc.hk/publicregWeb/indi/ALA617/licenceRecord,,,Rep,2012-07-03,2014-12-15
"Choi, Siu Tong Edward 蔡兆棠",None,sfclicrec.asp?p=12492539,BLL583,http://www.sfc.hk/publicregWeb/indi/BLL583/licenceRecord,,,Rep,2017-11-09,2019-04-26
"Cong, Lin 叢林",None,sfclicrec.asp?p=118823,ANN418,http://www.sfc.hk/publicregWeb/indi/ANN418/licenceRecord,,,RO,2018-03-08,2019-03-12
"Duan, Yaoyao 段瑤瑤",None,sfclicrec.asp?p=1896234,AZM972,http://www.sfc.hk/publicregWeb/indi/AZM972/licenceRecord,,,Rep,2012-05-18,2012-08-03
"Fang, Wei (SFC:AOT337) 方煒",None,sfclicrec.asp?p=74228,AOT337,http://www.sfc.hk/publicregWeb/indi/AOT337/licenceRecord,,,Rep,2015-11-26,2016-12-30
