Name,URL,Age in 2020,Gender,Role,From,Until
"Chen, Kairui 陳愷睿",sfclicrec.asp?p=2271429,,,Rep,2014-05-21,
"Cheng, Wai Man (SFC:ANK374) 鄭偉民",sfclicrec.asp?p=118579,,,RO,2014-03-06,2018-04-30
"Chow, Shuk Ki 周淑琪",sfclicrec.asp?p=2349243,,,Rep,2014-11-21,2016-08-26
"Duanmu, Yongshan 端木雍山",sfclicrec.asp?p=92283,,,Rep,2018-06-20,2018-09-20
"Duanmu, Yongshan 端木雍山",sfclicrec.asp?p=92283,,,RO,2018-09-20,
"Huang, Yong (SFC:AOD620) 黃勇",sfclicrec.asp?p=120056,,,RO,2014-03-06,
"Jiang, Yu (SFC:BCB741) 蔣煜",sfclicrec.asp?p=2218676,,,RO,2014-03-06,
"Liu, Ting Chih 劉庭芝",sfclicrec.asp?p=2701839,,,Rep,2017-02-27,2018-02-16
"Tsang, Fiona Siu Fong 曾小芳",sfclicrec.asp?p=2632255,,F,Rep,2016-09-13,2018-06-11
"Wang, Yanni (SFC:BGO988) 王艷妮",sfclicrec.asp?p=2518386,,,Rep,2015-12-24,2016-01-19
"Wong, Ka Tsz 黃家慈",sfclicrec.asp?p=2633428,,,Rep,2016-09-15,
