Name,URL,Age in 2020,Gender,Role,From,Until
"Cai, Hua (SFC:BHZ819) 蔡華",sfclicrec.asp?p=2623244,,,Rep,2019-10-17,2019-11-07
"Chan, Fung Cheung 陳鳳翔",sfclicrec.asp?p=127780,,,RO,2017-04-28,2019-12-31
"Chan, Wang (SFC:BGO479) 陳宏",sfclicrec.asp?p=2504130,,,Rep,2018-12-19,2019-09-01
"Chen, Senlin 陳森林",sfclicrec.asp?p=2202245,,,Rep,2019-05-16,2019-05-28
"Chen, Senlin 陳森林",sfclicrec.asp?p=2202245,,,RO,2019-05-28,
"Huang, Bai-Sung 黃百嵩",sfclicrec.asp?p=22868125,,,Rep,2019-03-07,2019-12-31
"Huang, Yung Hsien 黃勇諴",sfclicrec.asp?p=2602041,,,Rep,2019-01-14,2019-12-31
"Lu, Clark Chia-Chueh 呂佳學",sfclicrec.asp?p=106020,,M,RO,2017-04-28,2017-10-25
"Wong, Mang Nam 王萌南",sfclicrec.asp?p=114836,,,RO,2018-02-14,
"Zhao, Yang (SFC:BOP069) 趙洋",sfclicrec.asp?p=23554060,,,Rep,2019-08-15,
"Zheng, Bao 鄭寶",sfclicrec.asp?p=1975272,,,Rep,2019-09-30,2019-12-31
