Name,URL,Age in 2020,Gender,Role,From,Until
"Cheng, Ying Yee 鄭瀅旖",sfclicrec.asp?p=21434496,,,Rep,2019-11-22,
"Ip, Barry Yu Chak 葉汝澤",sfclicrec.asp?p=12994,56,M,RO,2012-03-09,
"Koo, Tin Man 辜天汶",sfclicrec.asp?p=2598603,,,Rep,2019-10-31,
"Lam, Fung Yan 林鳳欣",sfclicrec.asp?p=2489274,,,Rep,2015-10-22,2019-09-20
"Leung, Chi Hong 梁志康",sfclicrec.asp?p=2115268,,,Rep,2013-08-12,2017-09-30
"Leung, Chun Hang (SFC:ARQ391) 梁俊恆",sfclicrec.asp?p=126766,,,Rep,2016-07-08,
"Lin, Sung-hsien 林頌賢",sfclicrec.asp?p=70373,,,RO,2012-03-09,
"Tsang, Long 曾朗",sfclicrec.asp?p=96077,,,Rep,2012-10-22,2015-10-19
"Tse, Kwun Ho 謝冠豪",sfclicrec.asp?p=1913755,,,Rep,2012-06-20,2015-11-30
"Wang, Yuwei (SFC:BNK960) 王雨薇",sfclicrec.asp?p=22244359,,,Rep,2018-10-09,
"Zhang, Tingfei 張婷菲",sfclicrec.asp?p=78361,,,Rep,2018-08-31,2018-10-11
"Zhang, Tingfei 張婷菲",sfclicrec.asp?p=78361,,,RO,2018-10-11,
