Name,URL,Age in 2020,Gender,Role,From,Until
"Bao, Hui Ying 鮑慧穎",sfclicrec.asp?p=87391,,,Rep,2011-11-11,2015-06-13
"Bloomfield, David John (SFC:BAU224) ",sfclicrec.asp?p=2011171,,M,Rep,2013-01-21,2013-10-23
"Boon, Yan Taw 溫演道",sfclicrec.asp?p=77196,,,Rep,2013-11-05,
"Chan, Christy Wai Nga 陳慧雅",sfclicrec.asp?p=124045,,F,Rep,2013-09-11,
"Chan, Kwan Ho (SFC:APN775) 陳鈞浩",sfclicrec.asp?p=96696,,,Rep,2014-06-12,
"Chan, Pui Kwan (SFC:ALF667) 陳佩君",sfclicrec.asp?p=88354,,,Rep,2014-06-23,
"Chen, Chih Yang 陳志陽",sfclicrec.asp?p=2435200,,,Rep,2015-06-15,
"Cheng, Pui Yan 鄭珮欣",sfclicrec.asp?p=84577,,,Rep,2014-06-16,
"Chiu, Ching Yuan 邱敬媛",sfclicrec.asp?p=2328471,,,Rep,2016-08-18,2017-10-31
"Chiu, Man Yung 趙文用",sfclicrec.asp?p=129384,,,Rep,2017-06-06,2018-12-13
"Cho, Jeff Long Yin 曹朗賢",sfclicrec.asp?p=2104427,,M,Rep,2016-10-12,
"Chong, Sue Ching 張素菁",sfclicrec.asp?p=90059,,F,Rep,2008-04-23,2014-07-01
"Chow, Tak Yen 周得賢",sfclicrec.asp?p=77259,,,Rep,2008-12-23,2011-08-12
"Choy, Elina Elaine Yee Ling 蔡懿翎",sfclicrec.asp?p=96703,,F,Rep,2014-02-04,2017-02-01
"Chung, Tak Wai (SFC:AMM043) 鍾德偉",sfclicrec.asp?p=116920,43,M,Rep,2008-12-18,2009-02-02
"Du, Yanyi 杜延奕",sfclicrec.asp?p=80863,,,Rep,2012-09-24,2017-04-28
"Dutray, Benjamin Guillaume Marie ",sfclicrec.asp?p=118027,,M,Rep,2008-04-23,2008-06-16
"Dyer, Michael John (SFC:ANH060) ",sfclicrec.asp?p=88895,,M,Rep,2015-05-13,2019-04-28
"Edwards, Antony James ",sfclicrec.asp?p=93599,,M,Rep,2009-10-13,2009-12-01
"Edwards, Antony James ",sfclicrec.asp?p=93599,,M,RO,2009-12-01,2011-05-30
"Gan, Ying 干迎",sfclicrec.asp?p=132878,,,Rep,2011-10-19,2017-04-28
"Gao, Xinyu 高新宇",sfclicrec.asp?p=1849649,,,Rep,2012-02-03,2017-04-28
"Gunns, Christopher Michael Adrian ",sfclicrec.asp?p=121857,,M,Rep,2010-02-17,2011-06-24
"Haas, Ian Stewart ",sfclicrec.asp?p=22621324,,M,Rep,2019-01-08,2019-01-11
"Hao, Lei (SFC:ANX528) 郝雷",sfclicrec.asp?p=119563,,,Rep,2008-12-18,2009-06-30
"Hao, Lydia Zhuotao 郝卓韜",sfclicrec.asp?p=11800050,,F,Rep,2017-09-08,
"Henchman, Jason Christopher D. ",sfclicrec.asp?p=90056,,M,RO,2010-05-31,
"Ho, Dominic Pui Fung 何沛峰",sfclicrec.asp?p=94870,,M,Rep,2011-05-19,2011-07-11
"Ho, Wing Na 何穎娜",sfclicrec.asp?p=12107942,,,Rep,2017-10-10,
"Hoar, Nicholas John Francis ",sfclicrec.asp?p=90060,,M,Rep,2011-08-25,2011-11-25
"Hoar, Nicholas John Francis ",sfclicrec.asp?p=90060,,M,Rep,2011-11-28,2012-03-21
"Hoar, Nicholas John Francis ",sfclicrec.asp?p=90060,,M,RO,2012-03-21,
"Holzherr, Thomas Markus ",sfclicrec.asp?p=130170,,M,Rep,2012-06-01,
"Hui, Yik Sin 許亦先",sfclicrec.asp?p=84442,,,Rep,2017-02-03,
"Ie, Kuen Ning Natalie 余堃寧",sfclicrec.asp?p=2258710,,,Rep,2019-05-16,
"Ingham, Fredrick Roy ",sfclicrec.asp?p=90061,,M,Rep,2008-04-23,2012-03-23
"Jiang, Bo (SFC:AWD081) 姜博",sfclicrec.asp?p=93400,,,Rep,2012-05-07,2015-07-11
"Ke, Wei (SFC:BAR240) 柯伟",sfclicrec.asp?p=2006435,,,Rep,2013-01-09,2017-04-28
"Kim, Jeong Yoon 金楨倫",sfclicrec.asp?p=21804212,,,Rep,2019-06-14,
"Kwan, Herbert Wing Fung ",sfclicrec.asp?p=119562,,M,Rep,2008-12-18,2009-03-10
"Kwang, Mang Tak 鄺孟德",sfclicrec.asp?p=95145,,,Rep,2014-07-10,2014-09-24
"Kwang, Mang Tak 鄺孟德",sfclicrec.asp?p=95145,,,RO,2014-09-24,
"Kwok, Roy Shun Keung 郭舜強",sfclicrec.asp?p=124171,,M,Rep,2008-04-23,2008-10-24
"Lai, Andrew Kai-Jie 賴凱杰",sfclicrec.asp?p=11793801,,M,Rep,2018-11-09,
"Lam, Linda Lam 林霖",sfclicrec.asp?p=92669,,F,Rep,2015-03-06,
"Lau, Wing Chung (SFC:ANG393) 劉穎聰",sfclicrec.asp?p=84059,,,Rep,2008-04-23,2011-03-14
"Lee, Frank Kuo Wei 李国威",sfclicrec.asp?p=2485399,,M,Rep,2015-10-12,2017-04-28
