Name,URL,Age in 2020,Gender,Role,From,Until
"Lam, Ka Wai (SFC:ARL775) 林嘉偉",sfclicrec.asp?p=126330,,,RO,2018-12-06,2019-05-29
"Lau, Karen Yat Ying 劉一瑩",sfclicrec.asp?p=127791,49,F,RO,2017-10-23,
"Lee, Frances Ning Yee 李令儀",sfclicrec.asp?p=2455319,,F,RO,2017-10-23,2019-01-01
"Lee, Kit 李傑",sfclicrec.asp?p=22175628,,,Rep,2018-09-13,2019-01-14
"Lee, Kit 李傑",sfclicrec.asp?p=22175628,,,RO,2019-01-14,
"Li, Man Luk 李萬祿",sfclicrec.asp?p=22857668,,,Rep,2019-03-05,
"Lim, Yui Sing (SFC:BGU684) 林銳昇",sfclicrec.asp?p=2535725,,,Rep,2018-05-23,
"Ma, Lee (SFC:AMF773) 馬莉",sfclicrec.asp?p=23352532,,,Rep,2019-06-26,
"Ng, Ching Ho 吳政豪",sfclicrec.asp?p=89429,,,Rep,2019-05-07,2019-05-29
"Ng, Ching Ho 吳政豪",sfclicrec.asp?p=89429,,,RO,2019-05-29,
"Sin, Ka Ying 冼家瑩",sfclicrec.asp?p=120068,,,Rep,2018-03-01,2018-08-28
"Wong, Man Tai 王文泰",sfclicrec.asp?p=2535231,,,Rep,2019-03-15,2019-05-24
"Wong, Man Tai 王文泰",sfclicrec.asp?p=2535231,,,RO,2019-05-24,
