Name,URL,Age in 2020,Gender,Role,From,Until
"Chan, Yee Pui 陳以珮",sfclicrec.asp?p=102053,,,RO,2017-10-03,2019-05-31
"Cheng, Ho Cheong 鄭顥鏘",sfclicrec.asp?p=22348612,,,Rep,2019-04-01,2019-07-17
"Chuk, Chi Wing 卓志永",sfclicrec.asp?p=100403,,,RO,2017-10-03,
"Lau, Darwin Yuk Leung 劉玉良",sfclicrec.asp?p=129168,,M,Rep,2019-08-21,2019-11-25
"Lau, Darwin Yuk Leung 劉玉良",sfclicrec.asp?p=129168,,M,RO,2019-11-25,
"Ng, Wang Leung (SFC:AEJ671) 吳宏亮",sfclicrec.asp?p=21807527,,,Rep,2018-08-10,2019-08-19
"Wong, Siu Man (SFC:APR830) 王筱雯",sfclicrec.asp?p=99575,,,Rep,2019-05-23,2019-05-27
"Wong, Siu Man (SFC:APR830) 王筱雯",sfclicrec.asp?p=99575,,,RO,2019-05-27,2019-11-30
"Wong, Wai Hong (SFC:ACZ526) 王為康",sfclicrec.asp?p=97359,,,Rep,2019-09-02,2019-11-25
"Wong, Wai Hong (SFC:ACZ526) 王為康",sfclicrec.asp?p=97359,,,RO,2019-11-25,
