Name,URL,Age in 2020,Gender,Role,From,Until
"Chae, Jong Yoon 蔡鍾允",sfclicrec.asp?p=70318,,,Rep,2017-02-16,2018-01-12
"Chan, Iris Mun Kuen 陳敏娟",sfclicrec.asp?p=76850,,F,Rep,2018-09-17,2020-01-16
"Chan, Kwan (SFC:BHB909) 陳珺",sfclicrec.asp?p=2550713,,,Rep,2016-03-23,2017-08-06
"Chan, Pok Man 陳博民",sfclicrec.asp?p=2258357,,,Rep,2018-08-01,2019-04-03
"Chan, Shan Shan (SFC:AVM545) 陳珊珊",sfclicrec.asp?p=68893,,,Rep,2016-02-29,2017-12-01
"Chan, Tsan Tuen 陳贊屯",sfclicrec.asp?p=92409,,,Rep,2016-01-19,2016-05-19
"Chan, Yue Kei 陳汝基",sfclicrec.asp?p=86022,,,Rep,2005-11-16,2014-12-31
"Chau, Kai Wing 周啟榮",sfclicrec.asp?p=99056,,,Rep,2015-08-31,2015-09-15
"Chau, Kai Wing 周啟榮",sfclicrec.asp?p=99056,,,RO,2015-09-15,2016-10-03
"Cheng, Ka Wa 鄭家華",sfclicrec.asp?p=94325,,M,RO,2019-02-19,2019-06-03
"Cheung, Chun Fai (SFC:AQD310) 張振輝",sfclicrec.asp?p=91270,,,RO,2018-06-04,2019-02-28
"Cheung, Mize Tin Wah 張天華",sfclicrec.asp?p=2395474,,,Rep,2018-07-11,2019-12-08
"Chiu, Po Wai 趙寶偉",sfclicrec.asp?p=86023,,,Rep,2008-07-11,2014-05-17
"Chong, Chi Wai 莊智威",sfclicrec.asp?p=68911,,,Rep,2016-11-02,2018-01-08
"Chow, Wai Shan (SFC:AXP014) 周偉山",sfclicrec.asp?p=76993,,,Rep,2018-09-26,
"Chu, Chuang Chieh 朱創潔",sfclicrec.asp?p=101897,,,Rep,2017-08-31,2017-10-12
"Chu, Chuang Chieh 朱創潔",sfclicrec.asp?p=101897,,,RO,2017-10-12,
"Chui, Kit Man 崔結文",sfclicrec.asp?p=106153,,,Rep,2016-07-28,2017-12-01
"Chung, David Siu Keung 鍾兆強",sfclicrec.asp?p=102060,,M,Rep,,2005-01-18
"Fung, Wai Han 馮慧嫻",sfclicrec.asp?p=2463105,,,Rep,2015-08-17,
"Gelinas, Roger Todd 江泰德",sfclicrec.asp?p=101116,,M,Rep,2004-08-13,2006-01-31
"Ho, Chun Kit (SFC:AEP599) 何俊傑",sfclicrec.asp?p=86020,,,RO,,
"Ho, Kim Kwong 何劍剛",sfclicrec.asp?p=130527,,,Rep,2015-10-29,2017-05-09
"Ho, Kim Kwong 何劍剛",sfclicrec.asp?p=130527,,,RO,2017-05-09,2018-08-06
"Ho, Michael Chung Hong 何宗康",sfclicrec.asp?p=86021,,M,RO,,2015-02-19
"Ho, See Wing 何思穎",sfclicrec.asp?p=130177,,,Rep,2015-08-18,2016-07-09
"Kwan, Kai Ming (SFC:AAW394) 關繼明",sfclicrec.asp?p=95219,,M,Rep,,2008-06-30
"Kwok, Ka Yiu (SFC:ATD334) 郭家耀",sfclicrec.asp?p=128110,,,Rep,2014-10-30,2015-02-26
"Kwok, Ka Yiu (SFC:ATD334) 郭家耀",sfclicrec.asp?p=128110,,,RO,2015-02-26,2017-08-09
"Kwong, Wai Tong 鄺偉棠",sfclicrec.asp?p=86024,,M,Rep,,2015-10-30
"Lai, Wai Leung 黎偉亮",sfclicrec.asp?p=51243,,M,Rep,,2003-12-05
"Lai, Wai Leung 黎偉亮",sfclicrec.asp?p=51243,,M,RO,2003-12-05,2008-08-22
"Lam, Lok Hin 林諾軒",sfclicrec.asp?p=2552751,,,Rep,2016-03-31,2017-04-30
"Lau, Chi Hong (SFC:ADQ001) 劉子康",sfclicrec.asp?p=86025,,,Rep,,2014-05-13
"Lau, Chu Kwok 劉儲國",sfclicrec.asp?p=2599817,,,Rep,2016-06-30,2016-09-01
"Lau, Lai Na 劉麗娜",sfclicrec.asp?p=68941,,,Rep,2016-04-29,2017-01-18
"Law, Sui Hoi 羅瑞海",sfclicrec.asp?p=86026,,,Rep,,2015-10-30
