Name,URL,Age in 2020,Gender,Role,From,Until
"Chan, Ho Yin (SFC:AYR504) 陳浩然",sfclicrec.asp?p=2357896,,,RO,2014-12-11,2018-06-30
"Chang, Chung Kwong 曾中光",sfclicrec.asp?p=98919,,,RO,2012-02-20,2016-06-14
"Chen, Fan (SFC:BNC876) 陳凡",sfclicrec.asp?p=22242856,,,RO,2018-10-08,
"Choi, Wing Kam 蔡詠琴",sfclicrec.asp?p=108469,,,RO,2012-02-20,2012-11-26
"Chow, Wang (SFC:AIV279) 周泓",sfclicrec.asp?p=112542,,,Rep,2013-01-09,2013-03-11
"Chuah, Keng Hin 蔡景興",sfclicrec.asp?p=133111,,,RO,2018-02-23,
"Hsu, Jason Chung-Shiang ",sfclicrec.asp?p=12770337,,M,RO,2018-02-07,
"Leung, Chi Chung (SFC:ADX923) 梁志忠",sfclicrec.asp?p=81927,,,RO,2012-02-20,2018-06-30
"Lo, Lawrence ",sfclicrec.asp?p=22907866,,M,Rep,2019-03-15,
"Ong, Seah Tatt Jonah Dominc 王锡达",sfclicrec.asp?p=23269640,,,Rep,2019-06-06,
