Name,URL,Age in 2020,Gender,Role,From,Until
"Burrows, Quentin Charles ",sfclicrec.asp?p=102681,,M,RO,2015-10-05,2017-03-31
"Burrows, Quentin Charles ",sfclicrec.asp?p=102681,,M,Rep,2017-03-31,2019-05-18
"Chow, Inez Yan 周茵",sfclicrec.asp?p=104370,,F,RO,2015-03-05,
"Jin, Yuanjie 金元杰",sfclicrec.asp?p=11795560,,,Rep,2018-03-08,2018-04-17
"Jin, Yuanjie 金元杰",sfclicrec.asp?p=11795560,,,RO,2018-04-17,2019-02-28
"Lin, Yang (SFC:BOE403) 林洋",sfclicrec.asp?p=22980101,,,Rep,2019-04-01,2019-08-01
"Ma, Di 马迪",sfclicrec.asp?p=19491868,,,Rep,2018-07-12,2019-02-28
"Studholme-Wilson, Nicholas Claude ",sfclicrec.asp?p=122022,,M,RO,2015-03-05,2019-04-30
"Tang, Zhenhui 湯振暉",sfclicrec.asp?p=24073715,,,Rep,2020-01-03,
"Yiu, Chin Keung 姚展強",sfclicrec.asp?p=91250,,,Rep,2019-06-12,2019-06-28
"Yiu, Chin Keung 姚展強",sfclicrec.asp?p=91250,,,RO,2019-06-28,
