Name,URL,Age in 2020,Gender,Role,From,Until
"Barnett, Alexander (SFC:BAT745) ",sfclicrec.asp?p=2021993,,M,Rep,2013-02-15,2019-08-31
"Cecil, Camilla Kate (SFC:BIH185) ",sfclicrec.asp?p=2652274,,F,Rep,2016-11-01,2017-07-31
"Choegyal, Rinchen Harry Charles 孔力",sfclicrec.asp?p=1954809,,,Rep,2019-10-25,
"Donati, Edward Corso Nelson ",sfclicrec.asp?p=130843,,M,Rep,2011-03-10,2013-11-01
"Guo, Jing (SFC:BMM555) JingGuo",sfclicrec.asp?p=13749476,,,Rep,2018-04-11,2019-10-08
"Ko, Wendy Wai Yee 高慧儀",sfclicrec.asp?p=70996,,F,Rep,2013-10-15,2015-07-31
"Li, Zhiran 李之然",sfclicrec.asp?p=2541294,,,Rep,2016-03-01,
"Marmion, Myles Columba ",sfclicrec.asp?p=2282446,,M,RO,2014-06-18,
"McBain, Mary Charlotte ",sfclicrec.asp?p=102131,,F,RO,2008-06-05,
"Thornewill, Guy Alexander Pelham ",sfclicrec.asp?p=1919515,,M,Rep,2012-07-03,2017-12-30
"Tufnell, Rosina Jane (SFC:AQU120) ",sfclicrec.asp?p=124942,,F,RO,2008-06-05,2014-06-30
