Name,URL,Age in 2020,Gender,Role,From,Until
"Chan, Hung Nam 陳鴻楠",sfclicrec.asp?p=2142514,,,Rep,2016-12-19,2017-05-07
"Chan, Yuk Nam 陳沃楠",sfclicrec.asp?p=1922275,,,Rep,2016-12-19,2017-05-12
"Chen, Shizhe 陳詩哲",sfclicrec.asp?p=22252503,,,Rep,2018-10-16,
"Cheng, Yuen Man (SFC:BAJ473) 鄭苑雯",sfclicrec.asp?p=1974576,,,Rep,2019-03-20,2020-01-10
"Cheung, Tsz Wai 張子偉",sfclicrec.asp?p=71893,,,Rep,2016-12-19,
"Cheung, Wai Hang 張煒桁",sfclicrec.asp?p=1971623,,,Rep,2019-03-01,
"Ching, Mun Yui Roland 程敏叡",sfclicrec.asp?p=11333246,,,Rep,2017-06-02,2017-08-23
"Choi, Man Wing 蔡文荣",sfclicrec.asp?p=121208,,,Rep,2017-02-08,2018-03-16
"Dai, Gaogeng 戴高峰",sfclicrec.asp?p=23058240,,,Rep,2019-04-16,2019-12-05
"Guo, Zhen (SFC:BJN521) 郭震",sfclicrec.asp?p=12653633,,,RO,2017-12-20,
"He, Wuxian 何悟賢",sfclicrec.asp?p=12659317,,,Rep,2017-12-22,2018-02-13
"He, Xiaoshen 賀晓深",sfclicrec.asp?p=22985245,,,Rep,2019-04-02,
"Ho, Yan Lam (SFC:AVJ407) 何欣霖",sfclicrec.asp?p=91626,,,Rep,2017-05-05,2018-06-24
"Ip, Shing Chung 葉承宗",sfclicrec.asp?p=1992723,,,Rep,2020-01-14,
"Jiang, Guihong 蔣桂紅",sfclicrec.asp?p=23329012,,,Rep,2019-06-20,2019-11-20
"Kong, Ki Fung (SFC:AMF054) 江琦峰",sfclicrec.asp?p=84992,,,Rep,2016-12-19,2018-02-08
"Kong, Ki Fung (SFC:AMF054) 江琦峰",sfclicrec.asp?p=84992,,,RO,2018-02-08,
"Kwan, Kai Yiu 關啟堯",sfclicrec.asp?p=97306,,,Rep,2018-10-08,
"Kwan, Pak Him 關柏謙",sfclicrec.asp?p=2305839,,,Rep,2016-12-19,2018-10-20
"Lam, Chun Yim 林駿棪",sfclicrec.asp?p=92030,,,Rep,2019-02-14,
"Lam, Kwok Wa 林國華",sfclicrec.asp?p=2532116,,,Rep,2017-06-02,
"Lam, Sze Man (SFC:AXT415) 林思敏",sfclicrec.asp?p=85030,,,Rep,2016-12-19,2018-09-09
"Lau, Ka Yi 劉嘉怡",sfclicrec.asp?p=2659041,,,Rep,2016-12-19,2018-05-10
"Law, Tsz Shing 羅子成",sfclicrec.asp?p=2467073,,,Rep,2017-07-05,
"Lee, Ho Sing 李浩聲",sfclicrec.asp?p=93027,,,Rep,2019-06-21,
"Li, Lyuzhi 李律志",sfclicrec.asp?p=22524920,,,Rep,2019-06-19,
"Li, Zheng (SFC:AXW275) 李崢",sfclicrec.asp?p=132703,,,RO,2016-11-01,2019-04-21
"Liang, Fei (SFC:BLK911) 梁飛",sfclicrec.asp?p=12659318,,,Rep,2017-12-22,
"Liu, Ka Fai (SFC:BOJ750) 廖家輝",sfclicrec.asp?p=23324390,,,Rep,2019-06-19,
"Poon, Chun Ming 潘俊銘",sfclicrec.asp?p=2437161,,,Rep,2018-12-03,
"Shen, Tailong 沈泰龍",sfclicrec.asp?p=99126,,,RO,2016-11-01,2017-05-10
"Shi, Zhensong 石振嵩",sfclicrec.asp?p=129290,,,Rep,2019-02-27,
"Tan, Li (SFC:BKV411) 譚莉",sfclicrec.asp?p=12492555,,,Rep,2017-11-09,
"Tang, Wai Choi 鄧偉財",sfclicrec.asp?p=72545,,,Rep,2016-12-19,
"Tse, Sunny Sheung Lai 謝尚禮",sfclicrec.asp?p=86106,,M,RO,2019-01-23,
"Wang, Chuan (SFC:BHF645) 王川",sfclicrec.asp?p=2554647,,,Rep,2019-04-02,
"Wong, Kam Shing 黃錦成",sfclicrec.asp?p=2352266,,,Rep,2019-05-14,
"Wong, Philip Chi Hung 王智雄",sfclicrec.asp?p=93098,,M,RO,2019-04-03,
"Wong, Wai Lung (SFC:BFS852) 黃偉龍",sfclicrec.asp?p=2441779,,,Rep,2019-02-27,
"Yang, Xin (SFC:BLP894) 楊昕",sfclicrec.asp?p=12766761,,,Rep,2018-02-06,
"Ye, Qian (SFC:BGF967) 叶倩",sfclicrec.asp?p=2478323,,,Rep,2016-12-19,2019-04-04
"Yuan, Yuan (SFC:ASM187) 原渊",sfclicrec.asp?p=99128,,,RO,2016-11-01,
"Zhang, Chunbing 張春兵",sfclicrec.asp?p=23299001,,,Rep,2019-06-13,
"Zhang, Dingen 張丁恩",sfclicrec.asp?p=2622086,,,Rep,2018-02-14,
"Zhang, Xinming 張新明",sfclicrec.asp?p=2630429,,,Rep,2018-12-07,
"Zhang, Yongbo (SFC:BDA460) 張勇博",sfclicrec.asp?p=16704957,,,RO,2018-06-05,2018-12-05
"Zhou, Yunlong 周云龍",sfclicrec.asp?p=1954819,,,Rep,2017-02-08,2017-03-31
