Name,URL,Age in 2020,Gender,Role,From,Until
"Chan, Chi Keung (SFC:ARJ968) 陳智強",sfclicrec.asp?p=95375,,,Rep,2017-09-11,2018-01-21
"Chan, Vincent Sai Yee 陳世義",sfclicrec.asp?p=56661,,M,RO,2017-07-13,2019-10-08
"Chan, Wai Chung (SFC:AOD117) 陳偉聰",sfclicrec.asp?p=71767,,,Rep,2019-03-07,2019-04-26
"Chan, Wai Chung (SFC:AOD117) 陳偉聰",sfclicrec.asp?p=71767,,,RO,2019-04-26,2019-05-31
"Kwok, Yu Ho 郭宇浩",sfclicrec.asp?p=22249135,,,Rep,2018-10-12,2019-10-08
"Lau, Kwok Hei 劉國熙",sfclicrec.asp?p=81560,,,RO,2017-07-13,2017-10-27
"Leung, Chun Sing (SFC:ALN127) 梁振聲",sfclicrec.asp?p=85070,,,Rep,2017-12-21,2018-05-15
"Leung, Chun Sing (SFC:ALN127) 梁振聲",sfclicrec.asp?p=85070,,,RO,2018-05-15,2019-01-31
"Leung, Ka Man (SFC:ANG569) 梁家文",sfclicrec.asp?p=94602,,,Rep,2019-06-17,2019-08-01
"Leung, Ka Man (SFC:ANG569) 梁家文",sfclicrec.asp?p=94602,,,RO,2019-08-01,
"Tong, Ho Yin 湯浩然",sfclicrec.asp?p=97923,,,RO,2019-11-04,
"Wong, Kei Yiu 王紀堯",sfclicrec.asp?p=1986650,,,Rep,2019-01-15,2019-05-23
