Name,URL,Age in 2020,Gender,Role,From,Until
"Chen, Suli (SFC:BNY373) 陈苏黎",sfclicrec.asp?p=22584209,,,Rep,2018-12-24,
"Guo, Dan (SFC:ATO171) 郭丹",sfclicrec.asp?p=71751,,,Rep,2015-12-24,
"Jia, Tingting (SFC:AXB629) 賈婷婷",sfclicrec.asp?p=94479,,,Rep,2015-01-21,
"Li, Zhe (SFC:AOT398) 李喆",sfclicrec.asp?p=82551,,,Rep,2011-12-29,2012-07-12
"Li, Zhe (SFC:AOT398) 李喆",sfclicrec.asp?p=82551,,,RO,2012-07-12,2018-09-06
"Ma, Sidney Chi Wing 馬志榮",sfclicrec.asp?p=73297,,,Rep,2013-03-26,
"Qian, Yueqiang 錢越强",sfclicrec.asp?p=130740,,,RO,2011-04-14,2012-07-18
"Qiu, Xiaolei 裘瀟磊",sfclicrec.asp?p=2299110,,,Rep,2016-03-02,2017-12-18
"Qiu, Xiaolei 裘瀟磊",sfclicrec.asp?p=2299110,,,RO,2017-12-18,
"Tian, Jing (SFC:AWQ102) 田晶",sfclicrec.asp?p=130741,,,RO,2011-04-14,
"Yan, Kai 阎开",sfclicrec.asp?p=23453778,,,Rep,2019-07-22,
