Name,URL,Age in 2020,Gender,Role,From,Until
"Baughan, Mark Philip ",sfclicrec.asp?p=100430,,M,Rep,,2003-11-03
"Baughan, Mark Philip ",sfclicrec.asp?p=100430,,M,Rep,2004-10-15,2004-11-01
"Berghmans, Felix Jean Michel Marie Ghislain ",sfclicrec.asp?p=2006437,,M,Rep,2013-01-09,2015-02-08
"Chan, George Yee Lee 陳義理",sfclicrec.asp?p=8829,63,M,Rep,2004-11-10,2009-01-31
"Chan, Hoi Sang 陳凱笙",sfclicrec.asp?p=98176,,,Rep,2012-06-11,
"Chen, Sihan 陳斯涵",sfclicrec.asp?p=2282415,,,Rep,2014-06-17,
"Cheng, Tim Tak Ming 鄭德明",sfclicrec.asp?p=100238,,M,Rep,2010-05-03,2012-04-15
"Chester, Daphne Reynolds ",sfclicrec.asp?p=2162607,,F,Rep,2013-11-13,2017-10-12
"Chester, Daphne Reynolds ",sfclicrec.asp?p=2162607,,F,RO,2017-10-12,
"Cheung, Chor Heung 張楚香",sfclicrec.asp?p=100239,,,Rep,2006-01-18,2015-10-08
"Chow, Wang (SFC:AIV279) 周泓",sfclicrec.asp?p=112542,,,Rep,2007-07-19,2009-01-31
"Chung, Eugene ",sfclicrec.asp?p=98581,,M,Rep,2004-01-21,2004-11-01
"Dudok Van Heel, Robert Frederik ",sfclicrec.asp?p=2406800,,M,Rep,2015-04-15,2018-03-29
"Ferry, Peter Christopher ",sfclicrec.asp?p=100235,,M,RO,,2012-04-17
"Fok, Cho Kit 霍祖傑",sfclicrec.asp?p=109043,,,Rep,,2006-04-21
"Han, Wan Hoon 韓苑芬",sfclicrec.asp?p=107502,,,Rep,2004-09-15,2009-03-31
"Harris, Kylie Jane ",sfclicrec.asp?p=112508,,F,Rep,2003-05-30,2003-12-30
"Henricks, Amanda Fay ",sfclicrec.asp?p=103686,,F,Rep,,2005-10-13
"Hui, Hoi Wan 許海雲",sfclicrec.asp?p=100240,,,Rep,2006-04-25,2017-01-31
"Jeffery, Paul Richard Carroll ",sfclicrec.asp?p=77350,,M,Rep,2008-07-04,2010-11-30
"Jegannathan, Aravindan ",sfclicrec.asp?p=100241,,,Rep,2009-03-16,2013-08-31
"Kaaiohelo, John Tae-Hyun ",sfclicrec.asp?p=123596,,M,Rep,2007-12-03,2009-01-03
"Kaul, Anubhav ",sfclicrec.asp?p=2466036,,M,Rep,2015-08-24,2018-10-23
"Kaul, Anubhav ",sfclicrec.asp?p=2466036,,M,RO,2018-10-23,
"Keyes, Leslie Yu-Ling 趙汝寧",sfclicrec.asp?p=102475,,,Rep,2004-05-27,2009-01-16
"Kook, Soonki 鞠淳起",sfclicrec.asp?p=2312932,,,Rep,2014-08-26,2016-08-27
"Kwan, Hip Ning 關協寧",sfclicrec.asp?p=99621,,,Rep,2015-06-22,2017-08-25
"Lai, Annie Ting Ngai 賴庭藝",sfclicrec.asp?p=100236,,F,Rep,2004-07-05,2005-08-03
"Lai, Annie Ting Ngai 賴庭藝",sfclicrec.asp?p=100236,,F,RO,2005-08-03,2017-08-09
"Leung, Alex Heng Yu 梁恆宇",sfclicrec.asp?p=93703,,,Rep,2009-06-26,2011-05-04
"Leung, Peggy Yi Fun 梁綺芬",sfclicrec.asp?p=85964,,F,Rep,2016-07-29,2017-01-31
"Lin, Junjie 林俊杰",sfclicrec.asp?p=130248,,,Rep,2016-09-07,2017-03-28
"Mager, Michael Johanan ",sfclicrec.asp?p=100242,,M,Rep,2006-03-07,2013-04-30
"Maheshwari, Piyush ",sfclicrec.asp?p=2406801,,,Rep,2015-04-15,
"Mao, Tianshi 毛天時",sfclicrec.asp?p=81145,,,Rep,2013-03-08,
"Mitera, Vineet ",sfclicrec.asp?p=100243,,,Rep,2005-07-16,2014-03-27
"Mitera, Vineet ",sfclicrec.asp?p=100243,,,RO,2014-03-27,
"Nakanishi, Hideyuki 中西秀幸",sfclicrec.asp?p=2101341,,M,Rep,2013-07-17,
"Nash-Webber, Andrew James ",sfclicrec.asp?p=100244,,M,Rep,,2009-01-30
"Nash-Webber, Andrew James ",sfclicrec.asp?p=100244,,M,Rep,2011-03-09,2016-03-21
"Nash-Webber, Andrew James ",sfclicrec.asp?p=100244,,M,RO,2016-03-21,2016-12-30
"Ng, Marcus Bing Kwan 吳秉鈞",sfclicrec.asp?p=83757,,M,Rep,2015-06-01,2019-11-01
"Peng, Andy Xihui 彭喜輝",sfclicrec.asp?p=100245,,,Rep,2009-09-07,2012-07-12
"Saraf, Karan ",sfclicrec.asp?p=2311239,,,Rep,2014-08-22,2015-02-28
"Sheridan Iii, Robert Edwin ",sfclicrec.asp?p=1989382,,M,Rep,2012-12-03,
"Shih, Jonathan Hung-yee 石鴻毅",sfclicrec.asp?p=100246,,M,Rep,2008-07-22,2012-03-02
"Sieh, Sandy Ching Ha 謝靜霞",sfclicrec.asp?p=100014,,,Rep,2004-04-30,2005-10-05
"Tan, Wai Foon 陳懷芬",sfclicrec.asp?p=100292,,,Rep,2003-06-11,2006-10-01
"Wang, C C Clark 王崇智",sfclicrec.asp?p=80193,,,Rep,2009-07-02,2010-03-19
"Wang, Qingyang 王清揚",sfclicrec.asp?p=23515586,,,Rep,2019-08-05,
"Ward, Scobie Dickinson ",sfclicrec.asp?p=100237,,M,RO,,
"Wong, Brian Chihsing 黃知行",sfclicrec.asp?p=1921577,,M,Rep,2012-07-06,2018-10-09
"Wong, Brian Chihsing 黃知行",sfclicrec.asp?p=1921577,,M,RO,2018-10-09,
"Xu, Ying (SFC:AOG914) 徐瑛",sfclicrec.asp?p=120264,,,Rep,2006-12-06,2008-07-31
"Yang, Guang (SFC:BEK836) 楊光",sfclicrec.asp?p=2339220,,,Rep,2017-10-03,
