Name,URL,Age in 2020,Gender,Role,From,Until
"Au, Phillip Lap Chi 歐立智",sfclicrec.asp?p=2489936,,M,Rep,2015-10-23,2017-03-18
"Fu, Hung Man 符洪民",sfclicrec.asp?p=77789,,,Rep,2015-03-23,2015-04-16
"Fu, Hung Man 符洪民",sfclicrec.asp?p=77789,,,RO,2015-04-16,
"Han, Shiyun 韓士筠",sfclicrec.asp?p=2461815,,,Rep,2015-08-13,2018-02-07
"Han, Shiyun 韓士筠",sfclicrec.asp?p=2461815,,,RO,2018-02-07,
"Lam, Wilson Chun 林峻",sfclicrec.asp?p=77790,,M,Rep,2016-09-05,2018-11-30
"Lau, On Hong 劉安康",sfclicrec.asp?p=103115,,,RO,2014-12-19,
"Leung, Cheuk Fung 梁焯鋒",sfclicrec.asp?p=22600861,,,Rep,2019-01-02,
"Ma, Steve Yuk Fat 馬玉發",sfclicrec.asp?p=96201,,M,RO,2014-12-19,
"Wong, Hiu Chun 黃曉珍",sfclicrec.asp?p=2051698,,,Rep,2019-04-18,
"Yip, Wai Cheung 葉惠章",sfclicrec.asp?p=2409799,,,Rep,2015-04-20,
